epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0039,3.26412,4.13015,4.16471,0.00199,0.36085,0.0016,0.00046,3.5033,3.68369,4.15279,0.0002875,0.0002875,0.0002875
2,19.4477,2.83222,3.82915,3.71845,0.00179,0.3127,0.00123,0.00036,3.56213,3.56391,4.21301,0.000586326,0.000586326,0.000586326
3,27.2592,2.5348,3.50671,3.23407,0.00201,0.26123,0.00205,0.00052,3.59859,3.56013,4.23115,0.000883954,0.000883954,0.000883954
4,35.0683,2.40285,3.3512,2.9854,0,0,0,0,3.62367,4.58904,4.47595,0.00118038,0.00118038,0.00118038
5,41.9737,2.22168,3.11997,2.80224,0.03168,0.02976,0.0073,0.00172,3.32966,4.35907,4.10972,0.00124001,0.00124001,0.00124001
6,50.0505,2.07615,2.95081,2.66507,0.05596,0.19358,0.04751,0.01369,2.456,3.94648,2.99854,0.00123751,0.00123751,0.00123751
7,58.1796,1.97922,2.76889,2.55097,0.13088,0.4279,0.15208,0.05245,2.24763,3.07758,3.10104,0.00123502,0.00123502,0.00123502
8,67.1714,1.8709,2.68228,2.43982,0.36749,0.30864,0.1426,0.05075,2.22065,3.84335,3.15641,0.00123252,0.00123252,0.00123252
9,74.1705,1.79172,2.54122,2.33618,0.18935,0.49466,0.21952,0.06978,2.28243,2.7373,2.96831,0.00123002,0.00123002,0.00123002
10,81.8062,1.75696,2.51303,2.30615,0.20127,0.44858,0.20052,0.0746,1.97743,2.57907,2.60895,0.00122752,0.00122752,0.00122752
11,89.8072,1.66963,2.39833,2.21448,0.49789,0.37525,0.27251,0.1075,2.05974,2.60782,2.66876,0.00122503,0.00122503,0.00122503
12,98.1091,1.67664,2.344,2.19973,0.18321,0.49814,0.25291,0.11826,1.88558,2.6403,2.4137,0.00122253,0.00122253,0.00122253
13,105.791,1.63283,2.26281,2.16543,0.23926,0.47222,0.26664,0.11794,1.87015,2.24627,2.37799,0.00122003,0.00122003,0.00122003
14,112.709,1.57927,2.22284,2.10813,0.29528,0.53807,0.32348,0.15714,1.68052,2.11224,2.16714,0.00121753,0.00121753,0.00121753
15,120.046,1.49934,2.14931,2.01514,0.28088,0.50087,0.30241,0.16075,1.63289,2.17194,2.07524,0.00121503,0.00121503,0.00121503
16,127.763,1.47197,2.1065,1.97776,0.24987,0.61797,0.32556,0.18473,1.48788,2.39359,1.94394,0.00121254,0.00121254,0.00121254
17,136.133,1.45437,2.04265,1.95723,0.28749,0.58986,0.37628,0.22547,1.36421,1.92957,1.82817,0.00121004,0.00121004,0.00121004
18,145.028,1.4028,1.95062,1.88344,0.27955,0.60561,0.34855,0.19817,1.47426,1.849,1.95359,0.00120754,0.00120754,0.00120754
19,152.351,1.42872,1.96993,1.88618,0.30726,0.56741,0.35346,0.19809,1.47444,1.85243,1.98456,0.00120505,0.00120505,0.00120505
20,159.425,1.38193,1.93558,1.85785,0.35599,0.61011,0.41345,0.26196,1.26948,1.67652,1.74953,0.00120255,0.00120255,0.00120255
21,167.432,1.34078,1.88667,1.81157,0.3111,0.55537,0.37453,0.21998,1.46094,1.83493,1.91497,0.00120005,0.00120005,0.00120005
22,174.877,1.35583,1.83802,1.77669,0.36121,0.65016,0.43059,0.28486,1.26394,1.60589,1.69054,0.00119755,0.00119755,0.00119755
23,182.822,1.35494,1.83623,1.79182,0.35211,0.48631,0.36418,0.21599,1.49881,1.82445,1.92903,0.00119505,0.00119505,0.00119505
24,190.519,1.30423,1.79575,1.74206,0.39172,0.50076,0.43443,0.27203,1.34332,1.89727,1.76121,0.00119256,0.00119256,0.00119256
25,198.292,1.28001,1.76175,1.70673,0.33032,0.53708,0.40359,0.27999,1.18394,1.70162,1.65121,0.00119006,0.00119006,0.00119006
26,205.218,1.27218,1.74358,1.7121,0.37055,0.61213,0.44117,0.29021,1.31742,1.65917,1.75614,0.00118756,0.00118756,0.00118756
27,212.984,1.24729,1.72711,1.67012,0.33987,0.67846,0.43591,0.28943,1.20028,1.66539,1.58827,0.00118507,0.00118507,0.00118507
28,220.245,1.26515,1.72152,1.67303,0.40359,0.60847,0.46937,0.31173,1.26671,1.64033,1.71977,0.00118257,0.00118257,0.00118257
29,227.069,1.21718,1.66291,1.64915,0.35119,0.64354,0.43747,0.30542,1.21577,1.69091,1.64708,0.00118007,0.00118007,0.00118007
30,232.106,1.198,1.6605,1.64427,0.41888,0.64306,0.50377,0.35675,1.11933,1.46671,1.57221,0.00117757,0.00117757,0.00117757
31,237.317,1.20618,1.65301,1.64773,0.29187,0.57186,0.33409,0.22473,1.20121,1.99553,1.65225,0.00117507,0.00117507,0.00117507
32,242.053,1.16314,1.60478,1.60274,0.3772,0.63145,0.43988,0.31706,1.02822,1.54569,1.46636,0.00117258,0.00117258,0.00117258
33,246.851,1.16688,1.59376,1.56859,0.41667,0.60776,0.47839,0.34837,1.08636,1.5271,1.52736,0.00117008,0.00117008,0.00117008
34,251.668,1.15261,1.59806,1.5862,0.36645,0.67628,0.43869,0.31262,1.07049,1.63394,1.54685,0.00116758,0.00116758,0.00116758
35,256.39,1.17141,1.60406,1.6011,0.3926,0.63504,0.46318,0.33477,1.06088,1.56476,1.51633,0.00116508,0.00116508,0.00116508
36,261.198,1.12632,1.55647,1.5537,0.3092,0.60093,0.40998,0.29413,1.05702,1.89833,1.4881,0.00116259,0.00116259,0.00116259
37,265.927,1.15732,1.56364,1.57663,0.32111,0.70578,0.46661,0.32744,1.09602,1.47748,1.52843,0.00116009,0.00116009,0.00116009
38,270.715,1.12025,1.50779,1.53303,0.32788,0.59869,0.4057,0.27531,1.14988,1.84243,1.61047,0.00115759,0.00115759,0.00115759
39,275.456,1.11337,1.49474,1.52646,0.41107,0.50023,0.43638,0.30749,1.05977,1.65206,1.47823,0.0011551,0.0011551,0.0011551
40,280.243,1.09759,1.48944,1.52568,0.47378,0.64009,0.55164,0.3983,1.00257,1.34154,1.44832,0.0011526,0.0011526,0.0011526
41,285.405,1.08587,1.46556,1.51073,0.44562,0.62705,0.51218,0.35274,1.08208,1.47491,1.52196,0.0011501,0.0011501,0.0011501
42,290.08,1.06919,1.43581,1.50024,0.38777,0.55219,0.46276,0.34149,0.96168,1.5527,1.38599,0.0011476,0.0011476,0.0011476
43,294.857,1.09572,1.47249,1.52104,0.36087,0.72117,0.52516,0.3824,1.02132,1.40608,1.43923,0.0011451,0.0011451,0.0011451
44,299.889,1.05597,1.41506,1.48689,0.46238,0.61245,0.55066,0.41179,0.96102,1.36506,1.41802,0.00114261,0.00114261,0.00114261
45,305.288,1.06917,1.41604,1.4912,0.44084,0.63343,0.48637,0.34153,1.08655,1.45698,1.53111,0.00114011,0.00114011,0.00114011
46,310.042,1.05973,1.40003,1.47713,0.39333,0.61797,0.47998,0.34933,1.01627,1.55739,1.45516,0.00113761,0.00113761,0.00113761
47,314.723,1.05824,1.38694,1.47125,0.49186,0.61998,0.54244,0.40958,0.926,1.3113,1.36815,0.00113512,0.00113512,0.00113512
48,319.429,1.06702,1.39341,1.488,0.48854,0.6186,0.49354,0.35163,1.06106,1.48495,1.4945,0.00113262,0.00113262,0.00113262
49,324.111,1.05383,1.37405,1.47251,0.40255,0.68461,0.51328,0.38467,0.98306,1.42345,1.4274,0.00113012,0.00113012,0.00113012
50,328.979,1.02878,1.3547,1.45121,0.48398,0.65841,0.51619,0.39595,0.91079,1.42238,1.37226,0.00112762,0.00112762,0.00112762
51,333.779,1.03121,1.37351,1.44521,0.45845,0.65579,0.5551,0.40374,0.98801,1.42328,1.42352,0.00112513,0.00112513,0.00112513
52,338.51,1.06879,1.36845,1.47023,0.4635,0.58945,0.49082,0.35883,0.98562,1.56108,1.40868,0.00112263,0.00112263,0.00112263
53,343.174,1.00185,1.32646,1.43061,0.416,0.63238,0.54376,0.40871,0.97091,1.47111,1.37933,0.00112013,0.00112013,0.00112013
54,348.042,1.04234,1.34539,1.45302,0.55952,0.60824,0.57947,0.44164,0.90877,1.37323,1.37785,0.00111763,0.00111763,0.00111763
55,353.302,1.00739,1.34476,1.4283,0.39467,0.68355,0.51735,0.38765,0.94673,1.55194,1.36974,0.00111513,0.00111513,0.00111513
56,358.249,1.00602,1.30702,1.42212,0.60314,0.59779,0.61347,0.46209,0.98298,1.27935,1.4139,0.00111264,0.00111264,0.00111264
57,363.518,1.00178,1.35335,1.42031,0.61932,0.57627,0.57858,0.42684,0.98278,1.36533,1.41379,0.00111014,0.00111014,0.00111014
58,368.629,0.98743,1.31299,1.41968,0.47744,0.64794,0.57183,0.43484,0.94306,1.34745,1.4042,0.00110764,0.00110764,0.00110764
59,373.411,0.98091,1.27895,1.40391,0.45683,0.67285,0.5339,0.39381,0.99613,1.49198,1.41632,0.00110515,0.00110515,0.00110515
60,378.149,0.99546,1.27731,1.42647,0.53939,0.58029,0.5709,0.43477,0.95434,1.29885,1.39532,0.00110265,0.00110265,0.00110265
61,382.86,0.96923,1.24975,1.40679,0.55193,0.63293,0.59626,0.45448,0.8959,1.26449,1.35805,0.00110015,0.00110015,0.00110015
62,388.651,0.95844,1.20382,1.38031,0.41631,0.62189,0.49897,0.37377,0.93299,1.53862,1.37252,0.00109765,0.00109765,0.00109765
63,393.453,0.98468,1.2636,1.40485,0.39759,0.62383,0.51799,0.3933,0.91938,1.52968,1.35584,0.00109515,0.00109515,0.00109515
64,398.111,0.97277,1.23615,1.39641,0.50047,0.62413,0.56002,0.41646,0.94382,1.4292,1.37677,0.00109266,0.00109266,0.00109266
65,402.831,0.96666,1.21624,1.39199,0.5482,0.64522,0.61273,0.46047,0.92053,1.28888,1.35648,0.00109016,0.00109016,0.00109016
66,407.486,0.98185,1.2367,1.40781,0.47249,0.59571,0.53456,0.40468,0.93128,1.55171,1.35948,0.00108766,0.00108766,0.00108766
67,412.138,0.95336,1.20278,1.38329,0.5589,0.52902,0.56347,0.42095,0.93675,1.54752,1.37275,0.00108517,0.00108517,0.00108517
68,416.822,0.97286,1.19005,1.3935,0.4193,0.73157,0.53153,0.40242,0.96048,1.39603,1.40433,0.00108267,0.00108267,0.00108267
69,421.521,0.95841,1.20372,1.3867,0.56813,0.63225,0.64302,0.48325,0.9606,1.18565,1.37691,0.00108017,0.00108017,0.00108017
70,426.626,0.98127,1.1648,1.40466,0.57377,0.61413,0.63103,0.46906,0.968,1.33098,1.39243,0.00107767,0.00107767,0.00107767
71,431.299,0.9492,1.1809,1.38213,0.56592,0.60069,0.59344,0.45615,0.87103,1.36552,1.33188,0.00107518,0.00107518,0.00107518
72,436.053,0.95347,1.18844,1.38455,0.60065,0.62692,0.65508,0.50735,0.88825,1.15217,1.34021,0.00107268,0.00107268,0.00107268
73,441.92,0.93547,1.17119,1.37112,0.55063,0.65947,0.63652,0.49331,0.87967,1.24666,1.32032,0.00107018,0.00107018,0.00107018
74,446.72,0.94286,1.132,1.36341,0.65715,0.57748,0.63739,0.48122,0.91086,1.23438,1.36644,0.00106768,0.00106768,0.00106768
75,451.433,0.92102,1.11623,1.36281,0.62701,0.59345,0.5954,0.45573,0.94101,1.40827,1.38942,0.00106518,0.00106518,0.00106518
76,456.587,0.93202,1.12171,1.36108,0.59194,0.66353,0.65886,0.51582,0.88007,1.22947,1.28591,0.00106269,0.00106269,0.00106269
77,461.797,0.9234,1.11428,1.35087,0.62299,0.63008,0.66036,0.51385,0.88957,1.18416,1.31389,0.00106019,0.00106019,0.00106019
78,466.596,0.93378,1.15901,1.37024,0.6414,0.58255,0.61672,0.47226,0.89739,1.36952,1.34293,0.00105769,0.00105769,0.00105769
79,471.336,0.90439,1.11087,1.34738,0.54503,0.5622,0.56024,0.43437,0.92254,1.66137,1.35827,0.0010552,0.0010552,0.0010552
80,476.002,0.91256,1.14339,1.34494,0.64121,0.57885,0.62624,0.47861,0.89327,1.329,1.29401,0.0010527,0.0010527,0.0010527
81,480.747,0.92275,1.11219,1.34898,0.61474,0.60616,0.66176,0.5081,0.85915,1.15684,1.28973,0.0010502,0.0010502,0.0010502
82,485.559,0.91948,1.07559,1.34085,0.63165,0.6461,0.65369,0.50676,0.88695,1.16106,1.31868,0.0010477,0.0010477,0.0010477
