epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.73791,3.36902,4.23063,4.12354,9e-05,0.04643,0.00037,8e-05,4.18532,3.58362,3.76742,0.000407801,0.000407801,0.000407801
2,11.9754,2.98661,3.90651,3.77036,0,0,0,0,3.89304,3.93934,3.5546,0.000821747,0.000821747,0.000821747
3,16.9847,2.57088,3.57365,3.38495,0.27874,0.00714,0.00222,0.00051,3.6468,5.41306,3.57868,0.00123294,0.00123294,0.00123294
4,22.4613,2.32336,3.35693,3.01311,0.10461,0.21335,0.05159,0.01467,3.23848,6.77882,3.09782,0.00123763,0.00123763,0.00123763
5,27.9701,2.1879,3.12824,2.79511,0.08021,0.209,0.08169,0.0292,2.33855,3.01252,2.42366,0.0012335,0.0012335,0.0012335
6,33.3371,2.05746,2.96959,2.66517,0.1014,0.20812,0.08285,0.02804,2.44478,3.19492,2.40784,0.00122937,0.00122937,0.00122937
7,38.2435,2.0005,2.86765,2.57058,0.0746,0.50171,0.10899,0.03381,2.52651,2.95762,2.59501,0.00122525,0.00122525,0.00122525
8,43.6363,1.95578,2.74248,2.5442,0.24488,0.39635,0.22699,0.09411,2.03551,2.6435,2.07201,0.00122112,0.00122112,0.00122112
9,49.016,1.85336,2.62877,2.45068,0.34053,0.34241,0.23856,0.08841,2.19912,2.49305,2.23265,0.001217,0.001217,0.001217
10,53.9347,1.83949,2.56505,2.45378,0.25505,0.12418,0.15964,0.05839,2.28841,2.83113,2.21363,0.00121287,0.00121287,0.00121287
