epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.64709,3.13913,4.08458,4.10162,0.00211,0.36085,0.00182,0.00051,3.55788,3.69723,4.16587,0.000407801,0.000407801,0.000407801
2,13.4542,2.7619,3.74337,3.54227,0,0,0,0,3.88131,4.20357,4.53706,0.000822836,0.000822836,0.000822836
3,19.1461,2.51189,3.4455,3.13799,0.27224,0.16252,0.03106,0.00945,2.73277,6.06682,3.19739,0.00123622,0.00123622,0.00123622
4,25.2356,2.31888,3.25238,2.90259,0.03606,0.20227,0.02991,0.00864,2.49889,4.47516,3.15779,0.00124257,0.00124257,0.00124257
5,30.6514,2.15677,3.08209,2.71487,0.31281,0.17743,0.07695,0.02146,2.54042,4.52945,3.0995,0.0012401,0.0012401,0.0012401
6,36.5997,2.03321,2.84609,2.60506,0.38448,0.35092,0.13745,0.04635,2.17237,2.77849,2.75767,0.00123763,0.00123763,0.00123763
7,42.5253,1.96209,2.74613,2.53034,0.31962,0.39543,0.13144,0.04546,2.14431,2.99831,2.66749,0.00123515,0.00123515,0.00123515
8,47.9988,1.88141,2.67389,2.44652,0.16871,0.43726,0.17983,0.08309,1.85638,2.36937,2.37252,0.00123268,0.00123268,0.00123268
9,54.1247,1.81165,2.54305,2.34063,0.18376,0.58607,0.22385,0.10532,1.83245,2.403,2.36143,0.0012302,0.0012302,0.0012302
10,60.1672,1.76758,2.4895,2.32118,0.2398,0.59615,0.26922,0.13174,1.72816,2.1057,2.21906,0.00122773,0.00122773,0.00122773
11,66.0464,1.71806,2.42583,2.26111,0.41105,0.46307,0.26622,0.124,1.71898,2.23913,2.21902,0.00122525,0.00122525,0.00122525
12,71.3808,1.6709,2.34274,2.19081,0.25786,0.50714,0.27225,0.11525,1.94822,2.42443,2.37494,0.00122277,0.00122277,0.00122277
13,76.7039,1.62491,2.28691,2.15515,0.1984,0.4901,0.25912,0.13359,1.71828,2.25836,2.11849,0.0012203,0.0012203,0.0012203
14,82.8229,1.59511,2.22694,2.09623,0.31705,0.54286,0.35297,0.19612,1.58499,1.96106,2.06539,0.00121783,0.00121783,0.00121783
15,88.6821,1.55516,2.1732,2.04823,0.24644,0.49925,0.28608,0.16048,1.54825,1.99395,2.05357,0.00121535,0.00121535,0.00121535
16,94.0328,1.51436,2.07346,1.99912,0.28731,0.51962,0.33953,0.185,1.61654,1.96583,2.04155,0.00121287,0.00121287,0.00121287
17,99.4989,1.45532,2.0385,1.94645,0.284,0.56309,0.36003,0.21517,1.40069,1.82124,1.94315,0.0012104,0.0012104,0.0012104
18,105.616,1.46896,2.0346,1.93972,0.3825,0.4934,0.39921,0.2411,1.3998,1.77133,1.89006,0.00120793,0.00120793,0.00120793
19,111.559,1.4154,1.95448,1.88347,0.34067,0.5207,0.39833,0.25888,1.32835,1.72849,1.8177,0.00120545,0.00120545,0.00120545
20,117.524,1.39974,1.92878,1.86501,0.28058,0.51739,0.37426,0.24437,1.30393,1.85354,1.80623,0.00120298,0.00120298,0.00120298
21,123.025,1.356,1.88854,1.83331,0.32232,0.61609,0.38201,0.25029,1.26408,1.67315,1.72537,0.0012005,0.0012005,0.0012005
