epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.57053,3.34355,4.24687,4.1226,0,0,0,0,4.46132,3.61214,4.10606,0.000407801,0.000407801,0.000407801
2,15.9336,2.93383,3.89983,3.71935,0.00127,0.35662,0.00738,0.0013,3.42004,3.93566,3.35209,0.000822836,0.000822836,0.000822836
3,22.7671,2.63777,3.65222,3.3755,0.03441,0.28165,0.02536,0.0064,3.02722,15.1384,3.14955,0.00123622,0.00123622,0.00123622
4,29.5938,2.49917,3.47305,3.10206,0.05227,0.15426,0.03699,0.00805,2.69859,6.37584,2.67703,0.00124257,0.00124257,0.00124257
5,36.4098,2.33572,3.25419,2.89781,0.08551,0.18397,0.06878,0.0165,2.67194,3.76075,2.7494,0.0012401,0.0012401,0.0012401
6,43.2072,2.2111,3.09496,2.79798,0.11407,0.18966,0.07179,0.01664,2.67866,3.12784,2.67434,0.00123763,0.00123763,0.00123763
7,49.993,2.09068,2.94147,2.66401,0.14317,0.209,0.11141,0.03163,2.27292,2.91458,2.46543,0.00123515,0.00123515,0.00123515
8,56.9108,2.01951,2.83896,2.61043,0.18668,0.34274,0.15414,0.04952,2.21831,4.46769,2.46612,0.00123268,0.00123268,0.00123268
9,63.6766,1.94161,2.73846,2.55032,0.18896,0.29035,0.18824,0.06716,2.22621,2.59312,2.23417,0.0012302,0.0012302,0.0012302
10,70.4633,1.89911,2.66141,2.52486,0.20413,0.3242,0.20767,0.0794,2.18345,2.55482,2.22999,0.00122773,0.00122773,0.00122773
11,77.2186,1.83465,2.53648,2.45204,0.19835,0.39103,0.24475,0.09389,2.11597,2.36164,2.20614,0.00122525,0.00122525,0.00122525
12,83.9582,1.79128,2.46356,2.41583,0.19961,0.44927,0.21767,0.08531,2.12194,2.31651,2.10113,0.00122277,0.00122277,0.00122277
13,90.4622,1.74465,2.39539,2.3658,0.2567,0.43262,0.25315,0.09935,2.10975,2.25655,2.1143,0.0012203,0.0012203,0.0012203
