epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.53946,3.13913,4.08458,4.10162,0.00211,0.36085,0.00182,0.00051,3.55788,3.69723,4.16587,0.000407801,0.000407801,0.000407801
2,13.2844,2.7619,3.74337,3.54227,0,0,0,0,3.88131,4.20357,4.53706,0.000822836,0.000822836,0.000822836
3,18.7944,2.51189,3.4455,3.13799,0.27224,0.16252,0.03106,0.00945,2.73277,6.06682,3.19739,0.00123622,0.00123622,0.00123622
4,24.8455,2.31888,3.25238,2.90259,0.03606,0.20227,0.02991,0.00864,2.49889,4.47516,3.15779,0.00124257,0.00124257,0.00124257
5,30.2179,2.15677,3.08209,2.71487,0.31281,0.17743,0.07695,0.02146,2.54042,4.52945,3.0995,0.0012401,0.0012401,0.0012401
6,36.1347,2.03438,2.84831,2.60755,0.36815,0.33714,0.12967,0.04238,2.198,2.83492,2.77252,0.00123763,0.00123763,0.00123763
7,42.3205,1.95798,2.7452,2.53408,0.09165,0.42764,0.12245,0.0429,2.14217,2.88191,2.66596,0.00123515,0.00123515,0.00123515
8,48.6952,1.87942,2.67481,2.44451,0.17791,0.4704,0.19117,0.08622,1.9066,2.29919,2.42079,0.00123268,0.00123268,0.00123268
9,55.3586,1.80369,2.55273,2.33732,0.20181,0.4768,0.21012,0.10284,1.82563,2.38386,2.3491,0.0012302,0.0012302,0.0012302
10,61.6066,1.76442,2.50113,2.31289,0.2044,0.57661,0.23434,0.10909,1.84703,2.20208,2.33612,0.00122773,0.00122773,0.00122773
11,68.3465,1.70131,2.42616,2.24804,0.24804,0.53538,0.29084,0.15259,1.70073,2.13838,2.21137,0.00122525,0.00122525,0.00122525
12,74.7807,1.67839,2.33193,2.18402,0.2752,0.56382,0.30014,0.14944,1.78453,2.15651,2.26437,0.00122277,0.00122277,0.00122277
13,80.373,1.61957,2.27336,2.13154,0.24168,0.5557,0.28318,0.1514,1.65652,2.12557,2.09924,0.0012203,0.0012203,0.0012203
14,86.0887,1.595,2.19171,2.08202,0.29044,0.57101,0.35192,0.18002,1.71502,1.98553,2.17557,0.00121783,0.00121783,0.00121783
15,92.4401,1.54078,2.16384,2.03375,0.27529,0.56727,0.32532,0.18068,1.55196,1.9016,2.07399,0.00121535,0.00121535,0.00121535
16,98.708,1.49484,2.07137,1.9674,0.29112,0.57988,0.36815,0.20784,1.48037,1.86891,1.90189,0.00121287,0.00121287,0.00121287
17,104.789,1.45729,2.02502,1.94587,0.34518,0.57124,0.41943,0.26739,1.35779,1.74884,1.8578,0.0012104,0.0012104,0.0012104
18,110.834,1.45107,2.01207,1.92487,0.32763,0.59357,0.39142,0.23197,1.36755,1.73629,1.83307,0.00120793,0.00120793,0.00120793
19,116.495,1.40251,1.95488,1.87779,0.29883,0.57831,0.38078,0.23677,1.36784,1.74343,1.82915,0.00120545,0.00120545,0.00120545
20,121.866,1.40538,1.92052,1.85311,0.29448,0.64851,0.37721,0.22239,1.39092,1.74675,1.86345,0.00120298,0.00120298,0.00120298
21,127.345,1.38555,1.89,1.84981,0.32859,0.51416,0.37545,0.25188,1.23824,1.66109,1.70512,0.0012005,0.0012005,0.0012005
22,132.725,1.35482,1.85582,1.8116,0.24975,0.65718,0.30813,0.18621,1.26403,1.97513,1.7272,0.00119802,0.00119802,0.00119802
23,137.983,1.31951,1.85051,1.77762,0.2812,0.61588,0.38105,0.2433,1.31081,1.95742,1.7157,0.00119555,0.00119555,0.00119555
24,143.352,1.30319,1.83127,1.7624,0.2796,0.4928,0.30836,0.19828,1.24558,1.97727,1.69315,0.00119308,0.00119308,0.00119308
25,148.808,1.31525,1.8179,1.76857,0.34973,0.65833,0.42341,0.29643,1.14007,1.61535,1.60951,0.0011906,0.0011906,0.0011906
26,155.22,1.34641,1.83148,1.7763,0.26898,0.64123,0.38947,0.25304,1.26913,1.72557,1.78137,0.00118812,0.00118812,0.00118812
27,160.843,1.29928,1.80187,1.75549,0.23286,0.4817,0.28296,0.1763,1.31667,2.1854,1.78479,0.00118565,0.00118565,0.00118565
28,166.167,1.27812,1.75277,1.72969,0.3765,0.62327,0.40569,0.27661,1.13718,1.63274,1.58866,0.00118317,0.00118317,0.00118317
29,171.822,1.25199,1.73762,1.70792,0.25339,0.56042,0.33892,0.21747,1.19789,2.0393,1.63827,0.0011807,0.0011807,0.0011807
30,177.32,1.2315,1.72343,1.67895,0.37592,0.65874,0.43523,0.30422,1.11115,1.58697,1.56561,0.00117822,0.00117822,0.00117822
31,183.333,1.23931,1.74478,1.68482,0.35625,0.65656,0.40995,0.28158,1.12957,1.56127,1.56992,0.00117575,0.00117575,0.00117575
32,188.843,1.19793,1.66411,1.64538,0.39625,0.62082,0.44837,0.32102,1.09645,1.53358,1.54128,0.00117327,0.00117327,0.00117327
33,195.167,1.18805,1.65418,1.62893,0.36289,0.54775,0.40952,0.28631,1.14236,1.53715,1.58633,0.0011708,0.0011708,0.0011708
34,204.202,1.17678,1.64251,1.63083,0.31824,0.6527,0.40586,0.28689,1.07142,1.6264,1.52589,0.00116833,0.00116833,0.00116833
35,209.915,1.16611,1.6771,1.61152,0.42094,0.59944,0.472,0.34462,1.019,1.41824,1.47927,0.00116585,0.00116585,0.00116585
36,215.885,1.19794,1.64888,1.64886,0.43903,0.6176,0.44717,0.33055,0.98585,1.48209,1.43441,0.00116337,0.00116337,0.00116337
37,221.324,1.13839,1.61914,1.58533,0.31713,0.56703,0.38037,0.27478,1.01118,1.63413,1.46168,0.0011609,0.0011609,0.0011609
38,226.747,1.15834,1.60584,1.59983,0.31581,0.65513,0.39244,0.27624,1.02947,1.62088,1.4597,0.00115843,0.00115843,0.00115843
39,232.179,1.13402,1.56635,1.58788,0.43726,0.68456,0.49976,0.37668,0.99119,1.3672,1.44477,0.00115595,0.00115595,0.00115595
40,239.055,1.11916,1.5609,1.56916,0.43602,0.62566,0.45463,0.33383,0.98139,1.46516,1.43272,0.00115348,0.00115348,0.00115348
41,248.278,1.09188,1.52207,1.56252,0.4132,0.72607,0.50659,0.37577,0.95754,1.36384,1.42801,0.001151,0.001151,0.001151
42,256.324,1.10329,1.53948,1.56241,0.47515,0.61537,0.49476,0.36678,0.96929,1.39421,1.41378,0.00114853,0.00114853,0.00114853
43,271.521,1.07964,1.47394,1.55224,0.44478,0.68331,0.52305,0.38932,0.95622,1.31423,1.40858,0.00114605,0.00114605,0.00114605
44,301.427,1.11765,1.51632,1.55565,0.43542,0.70021,0.47303,0.34892,0.92697,1.43142,1.37999,0.00114357,0.00114357,0.00114357
45,310.647,1.08158,1.46377,1.53507,0.43084,0.70954,0.55036,0.40869,0.93973,1.30617,1.38964,0.0011411,0.0011411,0.0011411
46,323.109,1.07344,1.46229,1.51893,0.39388,0.62997,0.52993,0.40158,0.94281,1.3935,1.39214,0.00113863,0.00113863,0.00113863
47,340.755,1.08604,1.47586,1.52808,0.44417,0.65786,0.5009,0.37531,0.91746,1.41207,1.36793,0.00113615,0.00113615,0.00113615
48,347.294,1.0602,1.44404,1.51021,0.4011,0.60242,0.4431,0.31594,1.00768,1.59207,1.44208,0.00113368,0.00113368,0.00113368
49,356.883,1.05035,1.39486,1.49749,0.46857,0.5763,0.48975,0.35166,0.98267,1.43364,1.42268,0.0011312,0.0011312,0.0011312
50,363.384,1.07842,1.47561,1.52375,0.42255,0.63494,0.47012,0.33731,1.02338,1.42184,1.4701,0.00112873,0.00112873,0.00112873
