epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.34053,3.13913,4.08458,4.10162,0.00211,0.36085,0.00182,0.00051,3.55788,3.69723,4.16587,0.000407801,0.000407801,0.000407801
2,13.1148,2.7619,3.74337,3.54227,0,0,0,0,3.88131,4.20357,4.53706,0.000822836,0.000822836,0.000822836
3,18.7627,2.51189,3.4455,3.13799,0.27224,0.16252,0.03106,0.00945,2.73277,6.06682,3.19739,0.00123622,0.00123622,0.00123622
4,24.6746,2.31888,3.25238,2.90259,0.03606,0.20227,0.02991,0.00864,2.49889,4.47516,3.15779,0.00124257,0.00124257,0.00124257
5,30.0348,2.15677,3.08209,2.71487,0.31281,0.17743,0.07695,0.02146,2.54042,4.52945,3.0995,0.0012401,0.0012401,0.0012401
6,35.7273,2.03438,2.84831,2.60755,0.36815,0.33714,0.12967,0.04238,2.198,2.83492,2.77252,0.00123763,0.00123763,0.00123763
7,41.4964,1.95798,2.7452,2.53408,0.09165,0.42764,0.12245,0.0429,2.14217,2.88191,2.66596,0.00123515,0.00123515,0.00123515
8,47.6466,1.87942,2.67481,2.44451,0.17791,0.4704,0.19117,0.08622,1.9066,2.29919,2.42079,0.00123268,0.00123268,0.00123268
9,53.4489,1.80369,2.55273,2.33732,0.20181,0.4768,0.21012,0.10284,1.82563,2.38386,2.3491,0.0012302,0.0012302,0.0012302
10,59.2108,1.76442,2.50113,2.31289,0.2044,0.57661,0.23434,0.10909,1.84703,2.20208,2.33612,0.00122773,0.00122773,0.00122773
11,64.9929,1.70131,2.42616,2.24804,0.24804,0.53538,0.29084,0.15259,1.70073,2.13838,2.21137,0.00122525,0.00122525,0.00122525
12,70.9133,1.67839,2.33193,2.18402,0.2752,0.56382,0.30014,0.14944,1.78453,2.15651,2.26437,0.00122277,0.00122277,0.00122277
13,76.3885,1.61957,2.27336,2.13154,0.24168,0.5557,0.28318,0.1514,1.65652,2.12557,2.09924,0.0012203,0.0012203,0.0012203
14,83.0177,1.595,2.19171,2.08202,0.29044,0.57101,0.35192,0.18002,1.71502,1.98553,2.17557,0.00121783,0.00121783,0.00121783
15,88.9172,1.54078,2.16384,2.03375,0.27529,0.56727,0.32532,0.18068,1.55196,1.9016,2.07399,0.00121535,0.00121535,0.00121535
16,94.8603,1.49499,2.07098,1.96757,0.28778,0.58655,0.36704,0.20807,1.47787,1.8668,1.89948,0.00121287,0.00121287,0.00121287
17,100.739,1.45807,2.02465,1.94546,0.3395,0.57949,0.41465,0.26581,1.35974,1.75352,1.86109,0.0012104,0.0012104,0.0012104
18,106.57,1.45471,2.00865,1.92666,0.32881,0.59671,0.3888,0.22936,1.36961,1.74042,1.84012,0.00120793,0.00120793,0.00120793
19,111.902,1.40017,1.95898,1.87854,0.29877,0.59429,0.37485,0.23861,1.33317,1.7429,1.79622,0.00120545,0.00120545,0.00120545
20,117.291,1.40163,1.91187,1.84797,0.28819,0.60429,0.38955,0.24022,1.36817,1.76211,1.82728,0.00120298,0.00120298,0.00120298
21,122.648,1.3687,1.89027,1.84153,0.33171,0.65696,0.38941,0.26432,1.19249,1.64667,1.678,0.0012005,0.0012005,0.0012005
22,128.124,1.36742,1.86921,1.82107,0.24929,0.67726,0.32622,0.20396,1.26278,1.86014,1.73616,0.00119802,0.00119802,0.00119802
23,133.445,1.34657,1.85476,1.7957,0.32662,0.62527,0.41314,0.27035,1.24851,1.72103,1.69916,0.00119555,0.00119555,0.00119555
