                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.64405,                 1.8395,                 1.7983,                  0.578,                0.56716,                0.55102,                0.40901,                0.41045,                  1.532,                   1.48,               0.008878,               0.008878,               0.008878
                     37,                0.64947,                 1.8544,                 1.7961,                0.56788,                0.54204,                0.57553,                0.44103,                0.38052,                 1.4308,                 1.4294,               0.008845,               0.008845,               0.008845
                     38,                 0.6145,                 1.7765,                 1.7463,                0.52149,                0.64336,                0.58703,                0.45095,                0.36786,                 1.3666,                 1.3992,               0.008812,               0.008812,               0.008812
                     39,                0.63292,                 1.7946,                 1.7591,                0.54553,                0.68182,                0.61816,                0.47354,                0.37518,                 1.3467,                 1.4262,               0.008779,               0.008779,               0.008779
                     40,                 0.6296,                 1.7717,                 1.7552,                0.56336,                0.65463,                0.62493,                0.47341,                0.35857,                  1.304,                 1.3885,               0.008746,               0.008746,               0.008746
                     41,                0.62702,                 1.7665,                 1.7515,                0.65414,                0.55273,                 0.6091,                0.46957,                0.36599,                 1.3341,                 1.4108,               0.008713,               0.008713,               0.008713
                     42,                0.59952,                 1.7003,                 1.7249,                0.57829,                0.49566,                0.52062,                0.36099,                0.64908,                 1.7057,                 1.7118,                0.00868,                0.00868,                0.00868
                     43,                0.61019,                 1.7357,                 1.7354,                0.61627,                0.60099,                0.61713,                0.47145,                0.36222,                 1.3265,                 1.3838,               0.008647,               0.008647,               0.008647
                     44,                0.63927,                 1.7285,                  1.752,                0.61183,                0.62114,                0.61378,                0.47432,                0.37403,                  1.295,                 1.3993,               0.008614,               0.008614,               0.008614
                     45,                0.59829,                 1.7074,                 1.7321,                0.55368,                0.63507,                0.64086,                0.49733,                0.35528,                 1.2539,                 1.3603,               0.008581,               0.008581,               0.008581
                     46,                0.59279,                 1.6629,                 1.7008,                0.52936,                0.63391,                0.58812,                 0.4395,                0.36999,                  1.368,                  1.378,               0.008548,               0.008548,               0.008548
                     47,                0.60346,                 1.6871,                 1.6947,                0.57025,                0.66452,                 0.6406,                0.48486,                0.37325,                 1.3063,                  1.395,               0.008515,               0.008515,               0.008515
                     48,                0.59932,                  1.671,                 1.6961,                0.65516,                  0.629,                0.67476,                0.52382,                0.35203,                 1.2023,                 1.3545,               0.008482,               0.008482,               0.008482
                     49,                0.59667,                 1.6587,                 1.7044,                0.69306,                0.61003,                0.65914,                0.51299,                0.33624,                 1.3231,                 1.3184,               0.008449,               0.008449,               0.008449
                     50,                0.58903,                 1.6454,                 1.6993,                0.62394,                0.65707,                0.65032,                0.50185,                0.35553,                 1.3402,                 1.3677,               0.008416,               0.008416,               0.008416
                     51,                0.58889,                 1.6485,                 1.6854,                0.63867,                0.60677,                0.64816,                0.51189,                0.32813,                 1.2327,                 1.3294,               0.008383,               0.008383,               0.008383
                     52,                0.59871,                 1.6546,                 1.7056,                0.54673,                0.59906,                0.64205,                0.50036,                 0.3372,                 1.2511,                 1.3313,                0.00835,                0.00835,                0.00835
                     53,                0.59138,                 1.6044,                 1.6912,                0.59515,                0.66812,                0.65792,                0.50974,                0.32253,                 1.2421,                 1.3172,               0.008317,               0.008317,               0.008317
                     54,                0.58914,                 1.5935,                 1.6683,                0.68032,                0.64472,                0.69456,                0.53958,                0.32834,                 1.1977,                 1.3206,               0.008284,               0.008284,               0.008284
                     55,                0.57266,                 1.5971,                 1.6645,                0.56062,                0.57637,                0.61218,                0.46678,                0.40621,                 1.3662,                 1.4144,               0.008251,               0.008251,               0.008251
                     56,                0.57957,                 1.5889,                 1.6644,                0.57087,                0.59975,                0.58542,                0.44194,                0.41582,                  1.497,                 1.4053,               0.008218,               0.008218,               0.008218
                     57,                0.58831,                 1.5549,                 1.6566,                0.69733,                0.56088,                0.64562,                0.49503,                 0.3558,                 1.2295,                 1.3251,               0.008185,               0.008185,               0.008185
                     58,                0.59363,                 1.5695,                 1.6606,                0.60022,                0.58569,                0.60063,                0.45605,                0.41187,                 1.3512,                 1.3982,               0.008152,               0.008152,               0.008152
                     59,                0.56552,                 1.5587,                 1.6445,                0.61538,                0.60477,                0.60342,                0.46701,                0.34309,                 1.2851,                 1.3228,               0.008119,               0.008119,               0.008119
