epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0801,3.13913,4.08458,4.10162,0.00211,0.36085,0.00192,0.00053,3.55723,3.6953,4.16583,0.000407801,0.000407801,0.000407801
2,15.9091,2.7619,3.74337,3.54227,0,0,0,0,3.88233,4.2055,4.53889,0.000822836,0.000822836,0.000822836
3,21.3949,2.51189,3.4455,3.13799,0.27242,0.16252,0.03279,0.00963,2.72829,6.04193,3.19522,0.00123622,0.00123622,0.00123622
4,27.24,2.31888,3.25238,2.90259,0.03562,0.19914,0.0304,0.00878,2.50029,4.47144,3.1614,0.00124257,0.00124257,0.00124257
5,32.5692,2.15677,3.08209,2.71487,0.30358,0.21134,0.07805,0.02196,2.53495,4.50545,3.09212,0.0012401,0.0012401,0.0012401
6,38.5076,2.03438,2.84831,2.60755,0.37602,0.30414,0.13043,0.04292,2.19551,2.83797,2.76016,0.00123763,0.00123763,0.00123763
7,44.4697,1.95798,2.7452,2.53408,0.09219,0.43645,0.12219,0.04289,2.1418,2.87542,2.66368,0.00123515,0.00123515,0.00123515
8,49.8136,1.87942,2.67481,2.44451,0.17835,0.48745,0.19129,0.08628,1.89842,2.2937,2.41387,0.00123268,0.00123268,0.00123268
9,55.5583,1.80369,2.55273,2.33732,0.20337,0.48293,0.20524,0.10064,1.82227,2.38372,2.347,0.0012302,0.0012302,0.0012302
10,61.313,1.76442,2.50113,2.31289,0.2074,0.58029,0.2397,0.11021,1.84967,2.19434,2.33424,0.00122773,0.00122773,0.00122773
11,67.5183,1.70131,2.42616,2.24804,0.24389,0.54233,0.28678,0.15044,1.69503,2.13526,2.20396,0.00122525,0.00122525,0.00122525
12,75.4254,1.67839,2.33193,2.18402,0.26646,0.56426,0.2926,0.14555,1.77584,2.14861,2.24841,0.00122277,0.00122277,0.00122277
13,82.9801,1.61957,2.27336,2.13154,0.24154,0.5528,0.28247,0.15008,1.65367,2.1209,2.09346,0.0012203,0.0012203,0.0012203
14,90.4976,1.595,2.19171,2.08202,0.2883,0.56744,0.3509,0.18064,1.70711,1.98841,2.16535,0.00121783,0.00121783,0.00121783
15,98.8173,1.54078,2.16384,2.03375,0.26779,0.59085,0.32464,0.1796,1.55756,1.90112,2.07329,0.00121535,0.00121535,0.00121535
16,106.313,1.49484,2.07137,1.9674,0.28972,0.57363,0.36879,0.20631,1.48834,1.86505,1.90505,0.00121287,0.00121287,0.00121287
17,114.344,1.45729,2.02502,1.94587,0.34554,0.56913,0.4202,0.26741,1.36502,1.7503,1.86099,0.0012104,0.0012104,0.0012104
18,122.35,1.45107,2.01207,1.92487,0.32784,0.59357,0.38994,0.23119,1.36757,1.73858,1.83387,0.00120793,0.00120793,0.00120793
19,129.812,1.40251,1.95488,1.87779,0.29928,0.57831,0.38314,0.23832,1.36912,1.74061,1.8274,0.00120545,0.00120545,0.00120545
20,137.354,1.40538,1.92052,1.85311,0.29202,0.63926,0.37756,0.22216,1.38988,1.74329,1.8598,0.00120298,0.00120298,0.00120298
21,144.988,1.38555,1.89,1.84981,0.30712,0.64052,0.37288,0.25044,1.2393,1.66077,1.70345,0.0012005,0.0012005,0.0012005
22,152.494,1.35482,1.85582,1.8116,0.25214,0.66647,0.30846,0.18563,1.26123,1.97175,1.724,0.00119802,0.00119802,0.00119802
23,159.918,1.31951,1.85051,1.77762,0.28115,0.63534,0.38224,0.24468,1.31093,1.95601,1.71376,0.00119555,0.00119555,0.00119555
24,167.407,1.30319,1.83127,1.7624,0.28037,0.49484,0.30898,0.19864,1.24408,1.97699,1.68835,0.00119308,0.00119308,0.00119308
25,174.9,1.31525,1.8179,1.76857,0.34834,0.65833,0.42782,0.29799,1.1347,1.61295,1.60484,0.0011906,0.0011906,0.0011906
26,182.889,1.34641,1.83148,1.7763,0.27105,0.64378,0.39168,0.25486,1.26791,1.718,1.77246,0.00118812,0.00118812,0.00118812
27,190.409,1.29928,1.80187,1.75549,0.2282,0.47857,0.28468,0.17721,1.31074,2.18308,1.77741,0.00118565,0.00118565,0.00118565
28,197.982,1.27812,1.75277,1.72969,0.37315,0.60953,0.40398,0.27663,1.13533,1.62559,1.5861,0.00118317,0.00118317,0.00118317
29,205.449,1.25199,1.73762,1.70792,0.25406,0.55642,0.33828,0.21663,1.19949,2.04169,1.63983,0.0011807,0.0011807,0.0011807
30,212.94,1.2315,1.72343,1.67895,0.37551,0.65972,0.43678,0.30597,1.10819,1.58749,1.56134,0.00117822,0.00117822,0.00117822
31,220.97,1.23931,1.74478,1.68482,0.35743,0.64496,0.41213,0.28206,1.12684,1.55928,1.56487,0.00117575,0.00117575,0.00117575
32,228.497,1.19793,1.66411,1.64538,0.39817,0.61952,0.45137,0.32397,1.09684,1.53298,1.53863,0.00117327,0.00117327,0.00117327
33,236.673,1.18805,1.65418,1.62893,0.36295,0.56536,0.40987,0.2864,1.14179,1.53411,1.5814,0.0011708,0.0011708,0.0011708
34,244.284,1.17678,1.64251,1.63083,0.31538,0.67287,0.40464,0.28607,1.071,1.6267,1.52185,0.00116833,0.00116833,0.00116833
35,251.78,1.16611,1.6771,1.61152,0.42827,0.60256,0.47669,0.34947,1.01401,1.41131,1.47381,0.00116585,0.00116585,0.00116585
36,259.909,1.19794,1.64888,1.64886,0.43066,0.6176,0.44592,0.33144,0.98536,1.47972,1.43351,0.00116337,0.00116337,0.00116337
37,267.485,1.13839,1.61914,1.58533,0.31244,0.60213,0.37913,0.27451,1.01142,1.63246,1.45957,0.0011609,0.0011609,0.0011609
38,275.073,1.15834,1.60584,1.59983,0.3204,0.60742,0.39705,0.27949,1.03051,1.61528,1.45827,0.00115843,0.00115843,0.00115843
39,282.509,1.13402,1.56635,1.58788,0.44312,0.69337,0.50406,0.38062,0.99203,1.3623,1.44311,0.00115595,0.00115595,0.00115595
40,290.727,1.11916,1.5609,1.56916,0.44575,0.61386,0.45539,0.33497,0.9811,1.46017,1.42841,0.00115348,0.00115348,0.00115348
41,298.321,1.09188,1.52207,1.56252,0.40844,0.73964,0.51016,0.37862,0.95583,1.36142,1.42285,0.001151,0.001151,0.001151
42,305.922,1.10329,1.53948,1.56241,0.48049,0.62083,0.49783,0.37002,0.96945,1.39576,1.41255,0.00114853,0.00114853,0.00114853
43,313.127,1.07964,1.47394,1.55224,0.44298,0.67959,0.52005,0.38779,0.95291,1.31521,1.40309,0.00114605,0.00114605,0.00114605
44,319.292,1.11765,1.51632,1.55565,0.42888,0.69489,0.47655,0.35136,0.92781,1.43277,1.37702,0.00114357,0.00114357,0.00114357
45,324.77,1.08158,1.46377,1.53507,0.43699,0.70386,0.5503,0.40921,0.93819,1.30515,1.38957,0.0011411,0.0011411,0.0011411
46,330.746,1.07344,1.46229,1.51893,0.39002,0.63047,0.53268,0.403,0.94125,1.38574,1.39045,0.00113863,0.00113863,0.00113863
47,336.16,1.08604,1.47586,1.52808,0.45005,0.65943,0.50077,0.37216,0.91653,1.41192,1.36339,0.00113615,0.00113615,0.00113615
48,341.674,1.0602,1.44404,1.51021,0.40318,0.6039,0.44448,0.31635,1.0071,1.59645,1.43861,0.00113368,0.00113368,0.00113368
49,347.203,1.05035,1.39486,1.49749,0.47449,0.58215,0.48986,0.35271,0.98119,1.43108,1.41983,0.0011312,0.0011312,0.0011312
50,352.88,1.07842,1.47561,1.52375,0.43205,0.61837,0.47161,0.33777,1.02131,1.42313,1.4663,0.00112873,0.00112873,0.00112873
51,358.476,1.04888,1.44148,1.48524,0.46438,0.65199,0.51963,0.39641,0.91977,1.33038,1.35885,0.00112625,0.00112625,0.00112625
52,363.905,1.06237,1.43608,1.51194,0.47117,0.63242,0.55909,0.4167,0.97741,1.33484,1.41954,0.00112378,0.00112378,0.00112378
53,369.915,1.05732,1.41785,1.50187,0.44046,0.66818,0.52678,0.39187,0.96401,1.32924,1.40693,0.0011213,0.0011213,0.0011213
54,375.543,1.04809,1.3896,1.48893,0.48558,0.67491,0.55548,0.42904,0.91344,1.26191,1.35872,0.00111882,0.00111882,0.00111882
55,382.243,1.02038,1.36354,1.47445,0.45075,0.71369,0.56149,0.41429,0.96925,1.36624,1.38513,0.00111635,0.00111635,0.00111635
56,387.773,1.01623,1.37142,1.46195,0.46651,0.65289,0.53351,0.39921,0.95016,1.31816,1.37649,0.00111388,0.00111388,0.00111388
57,393.24,1.02351,1.3688,1.47196,0.45344,0.66957,0.53219,0.40948,0.8816,1.28001,1.32212,0.0011114,0.0011114,0.0011114
58,398.812,1.01995,1.36194,1.46127,0.45252,0.62435,0.47201,0.35307,0.9099,1.54044,1.37098,0.00110892,0.00110892,0.00110892
59,404.47,0.98164,1.3473,1.44019,0.49741,0.61698,0.54262,0.42017,0.88706,1.32317,1.35369,0.00110645,0.00110645,0.00110645
60,409.975,0.98302,1.30764,1.43203,0.47335,0.68044,0.52848,0.39177,0.93919,1.39258,1.36658,0.00110397,0.00110397,0.00110397
61,415.573,1.01233,1.33123,1.45361,0.4386,0.64952,0.56799,0.43924,0.85858,1.35284,1.32948,0.0011015,0.0011015,0.0011015
