epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2354,3.26172,4.20126,4.21146,0.00185,0.33602,0.00167,0.00047,3.66313,3.65574,4.14916,0.0002375,0.0002375,0.0002375
2,19.7964,2.95236,3.90084,3.80363,0.00199,0.35246,0.0015,0.00042,3.63345,3.77705,4.13232,0.000486526,0.000486526,0.000486526
3,26.1296,2.6462,3.72229,3.36905,0.00061,0.05577,0.00039,0.00013,3.7955,3.9393,4.32281,0.000734553,0.000734553,0.000734553
4,36.426,2.52016,3.56671,3.16621,0,0,0,0,3.95483,4.46761,4.42785,0.000981581,0.000981581,0.000981581
