epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.64257,3.15677,4.12089,4.08763,0.00204,0.35179,0.00158,0.00045,3.57407,3.70513,4.18063,0.000407801,0.000407801,0.000407801
2,15.6857,2.72621,3.77941,3.48547,0,0,0,0,3.73269,3.92509,4.43141,0.000822836,0.000822836,0.000822836
3,21.1348,2.45011,3.48756,3.07557,0.28687,0.03527,0.01306,0.0038,3.04213,3.92658,3.56938,0.00123622,0.00123622,0.00123622
4,26.8503,2.27213,3.31846,2.88248,0.03347,0.26859,0.03431,0.00916,2.71136,3.68155,3.44336,0.00124257,0.00124257,0.00124257
5,32.4076,2.15473,3.16444,2.76028,0.28127,0.28226,0.08419,0.0237,2.44883,3.33868,3.10909,0.0012401,0.0012401,0.0012401
6,37.9342,2.0553,2.93783,2.63654,0.32399,0.25875,0.07699,0.01896,2.49791,3.71007,2.98557,0.00123763,0.00123763,0.00123763
7,43.0855,1.95591,2.8238,2.52639,0.04778,0.47164,0.05632,0.01391,2.57903,3.52239,3.18385,0.00123515,0.00123515,0.00123515
8,48.3571,1.9093,2.73499,2.48991,0.12559,0.41554,0.14702,0.05085,2.02757,2.97635,2.54752,0.00123268,0.00123268,0.00123268
9,54.2809,1.84469,2.64257,2.41213,0.16361,0.4728,0.1846,0.07819,1.86843,2.4397,2.35163,0.0012302,0.0012302,0.0012302
10,59.8187,1.77255,2.5539,2.33544,0.14026,0.55293,0.16785,0.07709,1.83586,2.49268,2.2929,0.00122773,0.00122773,0.00122773
11,65.0129,1.73489,2.47459,2.29121,0.11791,0.53152,0.16143,0.07262,1.76407,2.51673,2.2088,0.00122525,0.00122525,0.00122525
12,70.1923,1.68802,2.37449,2.23727,0.2288,0.56113,0.23874,0.12758,1.58355,2.18787,2.06269,0.00122277,0.00122277,0.00122277
13,75.8069,1.61709,2.34983,2.17542,0.19622,0.62766,0.24957,0.11272,1.74269,2.15558,2.2221,0.0012203,0.0012203,0.0012203
14,80.957,1.62244,2.27526,2.16181,0.21218,0.55362,0.24027,0.11798,1.72895,2.1569,2.20378,0.00121783,0.00121783,0.00121783
15,86.1842,1.55192,2.2404,2.0768,0.20665,0.66325,0.27115,0.15697,1.4282,2.0058,1.93902,0.00121535,0.00121535,0.00121535
16,91.838,1.51444,2.17866,2.04784,0.20773,0.51097,0.24439,0.12236,1.63515,2.15779,2.11206,0.00121287,0.00121287,0.00121287
17,97.1627,1.5307,2.13081,2.05504,0.22608,0.58555,0.30992,0.17398,1.42318,2.06157,1.93456,0.0012104,0.0012104,0.0012104
18,102.775,1.47286,2.08172,1.99997,0.23168,0.67095,0.29539,0.17249,1.52962,1.88513,1.99056,0.00120793,0.00120793,0.00120793
19,107.904,1.41315,2.01021,1.9486,0.2392,0.59413,0.28228,0.17059,1.45016,1.90049,1.90467,0.00120545,0.00120545,0.00120545
20,113.013,1.39587,1.99622,1.91898,0.24251,0.60369,0.31969,0.20899,1.24553,1.81028,1.73202,0.00120298,0.00120298,0.00120298
21,118.665,1.37908,1.96085,1.89235,0.26244,0.71865,0.32991,0.20963,1.35845,1.81029,1.83372,0.0012005,0.0012005,0.0012005
22,124.332,1.37593,1.93619,1.89563,0.29412,0.66901,0.40484,0.24306,1.36773,1.72436,1.80778,0.00119802,0.00119802,0.00119802
23,130.128,1.35376,1.90304,1.86858,0.31257,0.58976,0.40398,0.23702,1.37931,1.66647,1.78739,0.00119555,0.00119555,0.00119555
24,135.518,1.3666,1.93333,1.8672,0.21892,0.51425,0.27935,0.16502,1.35462,2.07059,1.80466,0.00119308,0.00119308,0.00119308
25,140.721,1.34128,1.89072,1.84448,0.35842,0.56772,0.39587,0.26032,1.30871,1.70984,1.75652,0.0011906,0.0011906,0.0011906
26,146.408,1.38291,1.8979,1.859,0.31777,0.46454,0.41872,0.28225,1.17571,1.67222,1.66063,0.00118812,0.00118812,0.00118812
27,152.226,1.28847,1.84327,1.79116,0.23763,0.55499,0.31949,0.20411,1.26677,2.0384,1.70239,0.00118565,0.00118565,0.00118565
28,157.411,1.26572,1.80085,1.77376,0.39542,0.60968,0.46242,0.3103,1.1825,1.52792,1.64621,0.00118317,0.00118317,0.00118317
29,163.09,1.27401,1.80134,1.78172,0.34422,0.63209,0.41521,0.28429,1.17317,1.63752,1.61796,0.0011807,0.0011807,0.0011807
30,168.225,1.23214,1.75794,1.73541,0.37241,0.68497,0.43374,0.31296,1.11342,1.62645,1.56756,0.00117822,0.00117822,0.00117822
31,173.849,1.24687,1.7713,1.73893,0.40169,0.5818,0.44963,0.31427,1.16541,1.58284,1.57577,0.00117575,0.00117575,0.00117575
32,179.44,1.22452,1.71846,1.72298,0.29317,0.68098,0.41296,0.28194,1.12768,1.64932,1.56017,0.00117327,0.00117327,0.00117327
33,184.53,1.20869,1.70249,1.69993,0.37515,0.6567,0.44883,0.30393,1.14827,1.5087,1.57931,0.0011708,0.0011708,0.0011708
34,189.694,1.17166,1.66622,1.67963,0.37803,0.63359,0.40986,0.28548,1.1251,1.64563,1.55784,0.00116833,0.00116833,0.00116833
35,194.817,1.18801,1.70441,1.66151,0.32029,0.70589,0.4029,0.28735,1.06854,1.57298,1.50888,0.00116585,0.00116585,0.00116585
36,199.953,1.19522,1.69438,1.68872,0.34154,0.65165,0.44552,0.30808,1.08471,1.56243,1.54223,0.00116337,0.00116337,0.00116337
37,205.045,1.18179,1.65605,1.65445,0.42063,0.61342,0.4749,0.34499,1.0478,1.44211,1.49403,0.0011609,0.0011609,0.0011609
38,210.701,1.15752,1.60991,1.63313,0.30501,0.63853,0.39094,0.26849,1.06323,1.84688,1.51438,0.00115843,0.00115843,0.00115843
39,215.805,1.14366,1.59684,1.62812,0.39468,0.70696,0.45699,0.33386,1.0066,1.43545,1.4612,0.00115595,0.00115595,0.00115595
40,220.902,1.15361,1.61341,1.6271,0.40474,0.65421,0.44082,0.31632,1.0666,1.44907,1.49189,0.00115348,0.00115348,0.00115348
41,225.941,1.1298,1.5743,1.62019,0.446,0.62543,0.50287,0.36218,1.03134,1.39242,1.48388,0.001151,0.001151,0.001151
42,231.491,1.13003,1.59809,1.6081,0.4309,0.64368,0.49487,0.35704,1.00423,1.45144,1.45676,0.00114853,0.00114853,0.00114853
43,236.65,1.11354,1.56066,1.60699,0.38937,0.66361,0.48507,0.34702,1.00226,1.4419,1.45035,0.00114605,0.00114605,0.00114605
44,241.717,1.11265,1.55788,1.59614,0.3877,0.70356,0.42162,0.31727,0.93944,1.66628,1.39389,0.00114357,0.00114357,0.00114357
45,246.856,1.11106,1.5148,1.59003,0.4089,0.69758,0.49975,0.35778,1.02527,1.44021,1.47557,0.0011411,0.0011411,0.0011411
46,252.01,1.10716,1.48909,1.56556,0.32695,0.58821,0.41469,0.30157,0.97034,1.69925,1.41498,0.00113863,0.00113863,0.00113863
47,257.216,1.09936,1.51705,1.58295,0.4832,0.58686,0.47854,0.35498,0.97936,1.45616,1.4384,0.00113615,0.00113615,0.00113615
48,262.481,1.09693,1.48889,1.57867,0.42057,0.67789,0.50299,0.37529,0.98933,1.4104,1.4408,0.00113368,0.00113368,0.00113368
49,268.245,1.07886,1.4713,1.55382,0.4719,0.63608,0.5257,0.37593,1.0596,1.37526,1.49035,0.0011312,0.0011312,0.0011312
50,273.997,1.09803,1.50788,1.56728,0.4872,0.64599,0.54327,0.39351,1.00986,1.30453,1.45545,0.00112873,0.00112873,0.00112873
51,279.632,1.05473,1.45784,1.52001,0.45436,0.68983,0.52804,0.38938,0.9768,1.31631,1.43132,0.00112625,0.00112625,0.00112625
52,284.889,1.07168,1.48434,1.55178,0.43464,0.65451,0.53826,0.39814,0.96181,1.36518,1.41069,0.00112378,0.00112378,0.00112378
53,290.578,1.07894,1.46755,1.54782,0.4301,0.6456,0.52003,0.38276,0.97865,1.43795,1.42938,0.0011213,0.0011213,0.0011213
54,295.708,1.07297,1.46995,1.5383,0.4756,0.63617,0.51472,0.38342,0.9613,1.39276,1.41067,0.00111882,0.00111882,0.00111882
55,301.082,1.03368,1.41374,1.52436,0.47762,0.69377,0.54736,0.40223,0.9827,1.3444,1.40012,0.00111635,0.00111635,0.00111635
56,306.987,1.03084,1.41007,1.50327,0.48914,0.66378,0.57656,0.42332,0.97433,1.27855,1.41436,0.00111388,0.00111388,0.00111388
57,312.641,1.05408,1.41109,1.52307,0.44684,0.68366,0.54038,0.39484,0.92732,1.29611,1.38646,0.0011114,0.0011114,0.0011114
58,317.781,1.03635,1.39831,1.50779,0.4896,0.66579,0.53873,0.40845,0.92595,1.30685,1.40142,0.00110892,0.00110892,0.00110892
59,322.916,1.0217,1.3795,1.49908,0.48317,0.67468,0.58327,0.44391,0.89536,1.27614,1.35542,0.00110645,0.00110645,0.00110645
60,328.424,1.00561,1.35253,1.48917,0.41679,0.69207,0.48653,0.36789,0.89685,1.49955,1.3634,0.00110397,0.00110397,0.00110397
61,333.494,1.01229,1.37616,1.49746,0.49787,0.6873,0.59421,0.44278,0.92714,1.23431,1.40244,0.0011015,0.0011015,0.0011015
62,338.627,1.01557,1.3517,1.49529,0.46151,0.62896,0.54793,0.40767,0.92943,1.34816,1.39325,0.00109903,0.00109903,0.00109903
63,343.859,0.99174,1.35657,1.47686,0.46339,0.7165,0.58967,0.45607,0.87502,1.24201,1.34022,0.00109655,0.00109655,0.00109655
64,349.611,0.9904,1.32541,1.45979,0.377,0.71809,0.47624,0.34466,0.93816,1.45756,1.38187,0.00109408,0.00109408,0.00109408
65,354.796,0.98958,1.31321,1.45796,0.49211,0.65279,0.59587,0.43323,0.97527,1.25126,1.39754,0.0010916,0.0010916,0.0010916
66,360.013,0.98178,1.28537,1.45021,0.51492,0.6266,0.55299,0.42312,0.90472,1.33475,1.35578,0.00108913,0.00108913,0.00108913
67,365.11,1.01954,1.31176,1.48375,0.46095,0.54881,0.47667,0.36223,0.90973,1.54382,1.35768,0.00108665,0.00108665,0.00108665
68,370.256,0.9983,1.33899,1.47089,0.51614,0.6426,0.59521,0.44583,0.92002,1.27278,1.37053,0.00108417,0.00108417,0.00108417
69,375.367,0.98341,1.31329,1.46178,0.52128,0.60983,0.56642,0.42747,0.89796,1.36935,1.35255,0.0010817,0.0010817,0.0010817
70,380.609,0.99059,1.28564,1.46659,0.62371,0.56401,0.59561,0.45315,0.92297,1.39573,1.38727,0.00107923,0.00107923,0.00107923
