epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.44556,3.13913,4.08458,4.10162,0.00211,0.36085,0.00182,0.00051,3.55788,3.69723,4.16587,0.000407801,0.000407801,0.000407801
2,13.6807,2.7619,3.74337,3.54227,0,0,0,0,3.88131,4.20357,4.53706,0.000822836,0.000822836,0.000822836
3,19.32,2.51189,3.4455,3.13799,0.27224,0.16252,0.03106,0.00945,2.73277,6.06682,3.19739,0.00123622,0.00123622,0.00123622
4,25.2761,2.31888,3.25238,2.90259,0.03606,0.20227,0.02991,0.00864,2.49889,4.47516,3.15779,0.00124257,0.00124257,0.00124257
5,30.7721,2.15677,3.08209,2.71487,0.31281,0.17743,0.07695,0.02146,2.54042,4.52945,3.0995,0.0012401,0.0012401,0.0012401
6,36.7791,2.03438,2.84831,2.60755,0.36815,0.33714,0.12967,0.04238,2.198,2.83492,2.77252,0.00123763,0.00123763,0.00123763
